"trial","ref_position","var_area","response","correct","rt"
1,"R",14.2825123276561,"R",FALSE,1.04699993133545
2,"L",8.88532743533142,"R",FALSE,2.26999998092651
3,"R",8.46984007675201,"R",TRUE,3.26899981498718
4,"R",10.0708567460533,"L",TRUE,1.17700004577637
5,"R",12.7196756685153,"L",TRUE,0.769000053405762
6,"R",8.00622307672165,"L",FALSE,0.592999935150146
7,"R",14.2458468894474,"L",TRUE,0.565999984741211
8,"R",11.2717316045891,"L",TRUE,0.578999996185303
9,"R",10.4236639747396,"L",TRUE,0.582000017166138
10,"L",9.35070781642571,"L",FALSE,0.573000192642212
11,"R",9.05269168363884,"L",TRUE,0.578999996185303
12,"L",13.4988387927879,"L",FALSE,1.76699995994568
13,"R",10.7873693737201,"L",TRUE,0.579999923706055
14,"L",9.30090428539552,"L",FALSE,0.786999940872192
15,"L",12.0548584605567,"L",FALSE,0.587000131607056
16,"L",8.19201208790764,"L",TRUE,0.668999910354614
17,"L",10.2791255034972,"L",FALSE,0.786999940872192
18,"L",9.66996297799051,"L",FALSE,0.78600001335144
19,"R",10.6335377034266,"L",TRUE,0.680000066757202
20,"R",11.4708342330996,"L",TRUE,0.782999992370605
21,"R",14.1987166812178,"L",TRUE,0.679999828338623
22,"R",10.017412646208,"L",TRUE,0.788000106811523
